Sector,Pressure,Ecological Characteristic,Overlap,Frequency,DoI,Resilience,Persistence
Aggregates,Non-living Resources,Deep-sea Elasmobranchs,NO,,,,
Aggregates,Non-living Resources,Pelagic Elasmobranchs,S,P,C,,
Aggregates,Non-living Resources,Demersal Elasmobranchs,S,P,C,,
Aggregates,Non-living Resources,Reptiles,S,P,C,,
Aggregates,Non-living Resources,Marine birds,NO,,,,
Aggregates,Non-living Resources,Cephalopods,S,P,C,,
Aggregates,Noise,Littoral rock & reef,NO,,,,
Aggregates,Noise,Littoral sediment,S,P,L,,
Aggregates,Noise,Mangroves,NO,,,,
Aggregates,Noise,Saltmarshes,NO,,,,
Aggregates,Noise,Shallow rock & reef,NO,,,,
Aggregates,Noise,Shallow sediment,S,P,L,,
Aggregates,Noise,Shelf rock & reef,NO,,,,
Aggregates,Noise,Shelf sediment,S,P,C,,
Aggregates,Noise,Slope rock & reef,NO,,,,
Aggregates,Noise,Slope sediment,NO,,,,
Aggregates,Noise,Deep Sea rock & reef,NO,,,,
Aggregates,Noise,Deep Sea Sediment,NO,,,,
Aggregates,Noise, Coastal Pelagic,NO,,,,
Aggregates,Noise,Shelf Pelagic,NO,,,,
Aggregates,Noise,Oceanic Pelagic,NO,,,,
Aggregates,Noise,Marine Mammals,L,P,C,,
Aggregates,Noise,Pelagic Fish,NO,,,,
Aggregates,Noise,Demersal Fish,S,P,L,,
Aggregates,Noise,Deep-sea Fish,NO,,,,
Aggregates,Noise,Deep-sea Elasmobranchs,NO,,,,
Aggregates,Noise,Pelagic Elasmobranchs,S,P,L,,
Aggregates,Noise,Demersal Elasmobranchs,S,P,L,,
Aggregates,Noise,Reptiles,NO,,,,
Aggregates,Noise,Marine birds,NO,,,,
Aggregates,Noise,Cephalopods,S,P,L,,
Aggregates,Litter,Littoral rock & reef,NO,,,,
Aggregates,Litter,Littoral sediment,S,P,L,,
Aggregates,Litter,Mangroves,NO,,,,
Aggregates,Litter,Saltmarshes,NO,,,,
Aggregates,Litter,Shallow rock & reef,NO,,,,
Aggregates,Litter,Shallow sediment,S,P,L,,
Aggregates,Litter,Shelf rock & reef,NO,,,,
Aggregates,Litter,Shelf sediment,S,P,L,,
Aggregates,Litter,Slope rock & reef,NO,,,,
Aggregates,Litter,Slope sediment,NO,,,,
Aggregates,Litter,Deep Sea rock & reef,NO,,,,
Aggregates,Litter,Deep Sea Sediment,NO,,,,
Aggregates,Litter,Coastal Pelagic,S,P,L,,
Aggregates,Litter,Shelf Pelagic,S,P,L,,
Aggregates,Litter,Oceanic Pelagic,NO,,,,
Aggregates,Litter,Marine Mammals,S,P,L,,
Aggregates,Litter,Pelagic Fish,S,P,L,,
Aggregates,Litter,Demersal Fish,S,P,L,,
Aggregates,Litter,Deep-sea Fish,NO,,,,
Aggregates,Litter,Deep-sea Elasmobranchs,NO,,,,
Aggregates,Litter,Pelagic Elasmobranchs,S,P,L,,
Aggregates,Litter,Demersal Elasmobranchs,S,P,L,,
Aggregates,Litter,Reptiles,S,P,L,,
Aggregates,Litter,Marine birds,NO,,,,
Aggregates,Litter,Cephalopods,S,P,L,,
Aggregates,Thermal Regime,Littoral rock & reef,NO,,,,
Aggregates,Thermal Regime,Littoral sediment,NO,,,,
Aggregates,Thermal Regime, Mangroves,NO,,,,
Aggregates,Thermal Regime,Saltmarshes,NO,,,,
Aggregates,Thermal Regime,Shallow rock & reef,NO,,,,
Aggregates,Thermal Regime,Shallow sediment,NO,,,,
Aggregates,Thermal Regime,Shelf rock & reef,NO,,,,
Aggregates,Thermal Regime, Shelf sediment,NO,,,,
Aggregates,Thermal Regime,Slope rock & reef,NO,,,,
Aggregates,Thermal Regime,Slope sediment,NO,,,,
Aggregates,Thermal Regime,Deep Sea rock & reef,NO,,,,
Aggregates,Thermal Regime,Deep Sea Sediment,NO,,,,
Aggregates,Thermal Regime,Coastal Pelagic,NO,,,,
Aggregates,Thermal Regime,Shelf Pelagic,NO,,,,
Aggregates,Thermal Regime,Oceanic Pelagic,NO,,,,
Aggregates,Thermal Regime,Marine Mammals,NO,,,,
Aggregates,Thermal Regime,Pelagic Fish,NO,,,,
Aggregates,Thermal Regime,Demersal Fish,NO,,,,
Aggregates,Thermal Regime,Deep-sea Fish,NO,,,,
Aggregates,Thermal Regime,Deep-sea Elasmobranchs,NO,,,,
Aggregates,Thermal Regime,Pelagic Elasmobranchs,NO,,,,
Aggregates,Thermal Regime,Demersal Elasmobranchs,NO,,,,
Aggregates,Thermal Regime,Reptiles,NO,,,,
Aggregates,Thermal Regime, Marine birds,NO,,,,
Aggregates,Thermal Regime,Cephalopods,NO,,,,
Aggregates,Salinity Regime,Littoral rock & reef,NO,,,,
Aggregates,Salinity Regime,Littoral sediment,NO,,,,
Aggregates,Salinity Regime,Mangroves,NO,,,,
Aggregates,Salinity Regime,Saltmarshes,NO,,,,
Aggregates,Salinity Regime, Shallow rock & reef,NO,,,,
Aggregates,Salinity Regime, Shallow sediment,NO,,,,
Aggregates,Salinity Regime,Shelf rock & reef,NO,,,,
Aggregates,Salinity Regime,Shelf sediment,NO,,,,
Aggregates,Salinity Regime,Slope rock & reef,NO,,,,
Aggregates,Salinity Regime,Slope sediment,NO,,,,
Aggregates,Salinity Regime, Deep Sea rock & reef,NO,,,,
Aggregates,Salinity Regime,Deep Sea Sediment,NO,,,,
Aggregates,Salinity Regime,Coastal Pelagic,NO,,,,
Aggregates,Salinity Regime,Shelf Pelagic,NO,,,,
Aggregates,Salinity Regime,Oceanic Pelagic,NO,,,,
Aggregates,Salinity Regime, Marine Mammals,NO,,,,
Aggregates,Salinity Regime, Pelagic Fish,NO,,,,
Aggregates,Salinity Regime,Demersal Fish,NO,,,,
Aggregates,Salinity Regime,Deep-sea Fish,NO,,,,
Aggregates,Salinity Regime,Deep-sea Elasmobranchs,NO,,,,
Aggregates,Salinity Regime,Pelagic Elasmobranchs,NO,,,,
Aggregates,Salinity Regime,Demersal Elasmobranchs,NO,,,,
Aggregates,Salinity Regime,Reptiles,NO,,,,
Aggregates,Salinity Regime,Marine birds,NO,,,,
Aggregates,Salinity Regime,Cephalopods,NO,,,,
Aggregates,Introduction of Contaminating compounds,Littoral rock & reef,NO,,,,
Aggregates,Introduction of Contaminating compounds,Littoral sediment,NO,,,,
Aggregates,Introduction of Contaminating compounds,Mangroves,NO,,,,
Aggregates,Introduction of Contaminating compounds,Saltmarshes,NO,,,,
Aggregates,Introduction of Contaminating compounds,Shallow rock & reef,NO,,,,
Aggregates,Introduction of Contaminating compounds,Shallow sediment,NO,,,,
Aggregates,Introduction of Contaminating compounds,Shelf rock & reef,NO,,,,
Aggregates,Introduction of Contaminating compounds,Shelf sediment,NO,,,,
Aggregates,Introduction of Contaminating compounds,Slope rock & reef,NO,,,,
Aggregates,Introduction of Contaminating compounds,Slope sediment,NO,,,,
Aggregates,Introduction of Contaminating compounds,Deep Sea rock & reef,NO,,,,
Aggregates,Introduction of Contaminating compounds,Deep Sea Sediment,NO,,,,
Aggregates,Introduction of Contaminating compounds,Coastal Pelagic,NO,,,,
Aggregates,Introduction of Contaminating compounds,Shelf Pelagic,NO,,,,
Aggregates,Introduction of Contaminating compounds,Oceanic Pelagic,NO,,,,
Aggregates,Introduction of Contaminating compounds,Marine Mammals,NO,,,,
Aggregates,Introduction of Contaminating compounds,Pelagic Fish,NO,,,,
Aggregates,Introduction of Contaminating compounds,Demersal Fish,NO,,,,
Aggregates,Introduction of Contaminating compounds,Deep-sea Fish,NO,,,,
Aggregates,Introduction of Contaminating compounds,Deep-sea Elasmobranchs,NO,,,,
Aggregates,Introduction of Contaminating compounds,Pelagic Elasmobranchs,NO,,,,
Aggregates,Introduction of Contaminating compounds,Demersal Elasmobranchs,NO,,,,
Aggregates,Introduction of Contaminating compounds,Reptiles,NO,,,,
Aggregates,Introduction of Contaminating compounds,Marine birds,NO,,,,
Aggregates,Introduction of Contaminating compounds,Cephalopods,NO,,,,
Aggregates,Input of Organic Matter (including N&P),Littoral rock & reef,NO,,,,
Aggregates,Input of Organic Matter (including N&P),Littoral sediment,NO,,,,
Aggregates,Input of Organic Matter (including N&P),Mangroves,NO,,,,
Aggregates,Input of Organic Matter (including N&P),Saltmarshes,NO,,,,
Aggregates,Input of Organic Matter (including N&P),Shallow rock & reef,NO,,,,
Aggregates,Input of Organic Matter (including N&P),Shallow sediment,NO,,,,
Aggregates,Input of Organic Matter (including N&P),Shelf rock & reef,NO,,,,
Aggregates,Input of Organic Matter (including N&P),Shelf sediment,NO,,,,
Aggregates,Input of Organic Matter (including N&P),Slope rock & reef,NO,,,,
Aggregates,Input of Organic Matter (including N&P),Slope sediment,NO,,,,
Aggregates,Input of Organic Matter (including N&P),Deep Sea rock & reef,NO,,,,
Aggregates,Input of Organic Matter (including N&P),Deep Sea Sediment,NO,,,,
Aggregates,Input of Organic Matter (including N&P),Coastal Pelagic,NO,,,,
Aggregates,Input of Organic Matter (including N&P),Shelf Pelagic,NO,,,,
Aggregates,Input of Organic Matter (including N&P),Oceanic Pelagic,NO,,,,
Aggregates,Input of Organic Matter (including N&P),Marine Mammals,NO,,,,
Aggregates,Input of Organic Matter (including N&P),Pelagic Fish,NO,,,,
Aggregates,Input of Organic Matter (including N&P),Demersal Fish,NO,,,,
Aggregates,Input of Organic Matter (including N&P),Deep-sea Fish,NO,,,,
Aggregates,Input of Organic Matter (including N&P),Deep-sea Elasmobranchs,NO,,,,
Aggregates,Input of Organic Matter (including N&P),Pelagic Elasmobranchs,NO,,,,
Aggregates,Input of Organic Matter (including N&P),Demersal Elasmobranchs,NO,,,,
Aggregates,Input of Organic Matter (including N&P),Reptiles,NO,,,,
Aggregates,Input of Organic Matter (including N&P),Marine birds,NO,,,,
Aggregates,Input of Organic Matter (including N&P),Cephalopods,NO,,,,
Aggregates,Invasive species,Littoral rock & reef,NO,,,,
Aggregates,Invasive species,Littoral sediment,NO,,,,
Aggregates,Invasive species,Mangroves,NO,,,,
Aggregates,Invasive species,Saltmarshes,NO,,,,
Aggregates,Invasive species,Shallow rock & reef,NO,,,,
Aggregates,Invasive species,Shallow sediment,NO,,,,
Aggregates,Invasive species,Shelf rock & reef,NO,,,,
Aggregates,Invasive species,Shelf sediment,NO,,,,
Aggregates,Invasive species,Slope rock & reef,NO,,,,
Aggregates,Invasive species,Slope sediment,NO,,,,
Aggregates,Invasive species,Deep Sea rock & reef,NO,,,,
Aggregates,Invasive species,Deep Sea Sediment,NO,,,,
Aggregates,Invasive species,Coastal Pelagic,NO,,,,
Aggregates,Invasive species,Shelf Pelagic,NO,,,,
Aggregates,Invasive species,Oceanic Pelagic,NO,,,,
Aggregates,Invasive species,Marine Mammals,NO,,,,
Aggregates,Invasive species,Pelagic Fish,NO,,,,
Aggregates,Invasive species,Demersal Fish,NO,,,,
Aggregates,Invasive species,Deep-sea Fish,NO,,,,
Aggregates,Invasive species,Deep-sea Elasmobranchs,NO,,,,
Aggregates,Invasive species,Pelagic Elasmobranchs,NO,,,,
Aggregates,Invasive species,Demersal Elasmobranchs,NO,,,,
Aggregates,Invasive species,Reptiles,NO,,,,
Aggregates,Invasive species,Marine birds,NO,,,,
Aggregates,Invasive species,Cephalopods,NO,,,,
Aggregates,Species Extraction,Littoral rock & reef,NO,,,,
Aggregates,Species Extraction,Littoral sediment,NO,,,,
Aggregates,Species Extraction,Mangroves,NO,,,,
Aggregates,Species Extraction,Saltmarshes,NO,,,,
Aggregates,Species Extraction,Shallow rock & reef,NO,,,,
Aggregates,Species Extraction,Shallow sediment,NO,,,,
Aggregates,Species Extraction,Shelf rock & reef,NO,,,,
Aggregates,Species Extraction,Shelf sediment,NO,,,,
Aggregates,Species Extraction,Slope rock & reef,NO,,,,
Aggregates,Species Extraction,Slope sediment,NO,,,,
Aggregates,Species Extraction,Deep Sea rock & reef,NO,,,,
Aggregates,Species Extraction,Deep Sea Sediment,NO,,,,
Aggregates,Species Extraction,Coastal Pelagic,NO,,,,
Aggregates,Species Extraction,Shelf Pelagic,NO,,,,
Aggregates,Species Extraction,Oceanic Pelagic,NO,,,,
Aggregates,Species Extraction, Marine Mammals,NO,,,,
Aggregates,Species Extraction,Pelagic Fish,NO,,,,
Aggregates,Species Extraction,Demersal Fish,NO,,,,
Aggregates,Species Extraction,Deep-sea Fish,NO,,,,
Aggregates,Species Extraction,Deep-sea Elasmobranchs,NO,,,,
Aggregates,Species Extraction,Pelagic Elasmobranchs,NO,,,,
Aggregates,Species Extraction,Demersal Elasmobranchs,NO,,,,
Aggregates,Species Extraction,Reptiles,NO,,,,
Aggregates,Species Extraction,Marine birds,NO,,,,
Aggregates,Species Extraction,Cephalopods,NO,,,,
Aggregates,Bycatch,Littoral rock & reef,NO,,,,
Aggregates,Bycatch,Littoral sediment,NO,,,,
Aggregates,Bycatch,Mangroves,NO,,,,
Aggregates,Bycatch,Saltmarshes,NO,,,,
Aggregates,Bycatch,Shallow rock & reef,NO,,,,
Aggregates,Bycatch,Shallow sediment,NO,,,,
Aggregates,Bycatch,Shelf rock & reef,NO,,,,
Aggregates,Bycatch,Shelf sediment,NO,,,,
Aggregates,Bycatch,Slope rock & reef,NO,,,,
Aggregates,Bycatch,Slope sediment,NO,,,,
Aggregates,Bycatch,Deep Sea rock & reef,NO,,,,
Aggregates,Bycatch,Deep Sea Sediment,NO,,,,
Aggregates,Bycatch,Coastal Pelagic,NO,,,,
Aggregates,Bycatch,Shelf Pelagic,NO,,,,
Aggregates,Bycatch,Oceanic Pelagic,NO,,,,
Aggregates,Bycatch,Marine Mammals,NO,,,,
Aggregates,Bycatch,Pelagic Fish,NO,,,,
Aggregates,Bycatch,Demersal Fish,NO,,,,
Aggregates,Bycatch, Deep-sea Fish,NO,,,,
Aggregates,Bycatch,Deep-sea Elasmobranchs,NO,,,,
Aggregates,Bycatch,Pelagic Elasmobranchs,NO,,,,
Aggregates,Bycatch,Demersal Elasmobranchs,NO,,,,
Aggregates,Bycatch,Reptiles,NO,,,,
Aggregates,Bycatch,Marine birds,NO,,,,
Aggregates,Bycatch,Cephalopods,NO,,,,
Aggregates,Incidental Loss of spp.,Littoral rock & reef,NO,,,,
Aggregates,Incidental Loss of spp.,Littoral sediment,S,P,C,,
Aggregates,Incidental Loss of spp.,Mangroves,NO,,,,
Aggregates,Incidental Loss of spp.,Saltmarshes,NO,,,,
Aggregates,Incidental Loss of spp.,Shallow rock & reef,NO,,,,
Aggregates,Incidental Loss of spp.,Shallow sediment,S,R,C,,
Aggregates,Incidental Loss of spp.,Shelf rock & reef,NO,,,,
Aggregates,Incidental Loss of spp.,Shelf sediment,S,R,C,,
Aggregates,Incidental Loss of spp., Slope rock & reef,NO,,,,
Aggregates,Incidental Loss of spp., Slope sediment,NO,,,,
Aggregates,Incidental Loss of spp.,Deep Sea rock & reef,NO,,,,
Aggregates,Incidental Loss of spp.,Deep Sea Sediment,NO,,,,
Aggregates,Incidental Loss of spp.,Coastal Pelagic,NO,,,,
Aggregates,Incidental Loss of spp.,Shelf Pelagic,NO,,,,
Aggregates,Incidental Loss of spp.,Oceanic Pelagic,NO,,,,
Aggregates,Incidental Loss of spp.,Marine Mammals,NO,,,,
Aggregates,Incidental Loss of spp.,Pelagic Fish,NO,,,,
Aggregates,Incidental Loss of spp.,Demersal Fish,S,P,C,,
Aggregates,Incidental Loss of spp.,Deep-sea Fish,NO,,,,
Aggregates,Incidental Loss of spp.,Deep-sea Elasmobranchs,NO,,,,
Aggregates,Incidental Loss of spp.,Pelagic Elasmobranchs,S,P,C,,
Aggregates,Incidental Loss of spp.,Demersal Elasmobranchs,S,P,C,,
Aggregates,Incidental Loss of spp.,Reptiles,NO,,,,
Aggregates,Incidental Loss of spp.,Marine birds,NO,,,,
Aggregates,Incidental Loss of spp.,Cephalopods,NO,,,,
Aggregates,Barriers,Littoral rock & reef,NO,,,,
Aggregates,Barriers,Littoral sediment,S,R,C,,
Aggregates,Barriers,Mangroves,NO,,,,
Aggregates,Barriers,Saltmarshes,NO,,,,
Aggregates,Barriers,Shallow rock & reef,NO,,,,
Aggregates,Barriers,Shallow sediment,S,P,C,,
Aggregates,Barriers,Shelf rock & reef,NO,,,,
Aggregates,Barriers,Shelf sediment,S,P,C,,
Aggregates,Barriers,Slope rock & reef,NO,,,,
Aggregates,Barriers,Slope sediment,NO,,,,
Aggregates,Barriers,Deep Sea rock & reef,NO,,,,
Aggregates,Barriers,Deep Sea Sediment,NO,,,,
Aggregates,Barriers,Coastal Pelagic,S,P,C,,
Aggregates,Barriers,Shelf Pelagic,S,P,C,,
Aggregates,Barriers,Oceanic Pelagic,NO,,,,
Aggregates,Barriers,Marine Mammals,S,P,C,,
Aggregates,Barriers,Pelagic Fish,S,P,C,,
Aggregates,Barriers,Demersal Fish,S,P,C,,
Aggregates,Barriers,Deep-sea Fish,NO,,,,
Aggregates,Barriers, Deep-sea Elasmobranchs,NO,,,,
Aggregates,Barriers,Pelagic Elasmobranchs,S,P,C,,
Aggregates,Barriers,Demersal Elasmobranchs,S,P,C,,
Aggregates,Barriers,Reptiles,S,P,C,,
Aggregates,Barriers,Marine birds,NO,,,,
Aggregates,Barriers,Cephalopods,NO,,,,
Aggregates,Change in wave exposure,Littoral rock & reef,NO,,,,
Aggregates,Change in wave exposure,Littoral sediment,NO,,,,
Aggregates,Change in wave exposure,Mangroves,NO,,,,
Aggregates,Change in wave exposure,Saltmarshes,NO,,,,
Aggregates,Change in wave exposure,Shallow rock & reef,NO,,,,
Aggregates,Change in wave exposure,Shallow sediment,NO,,,,
Aggregates,Change in wave exposure,Shelf rock & reef,NO,,,,
Aggregates,Change in wave exposure,Shelf sediment,NO,,,,
Aggregates,Change in wave exposure,Slope rock & reef,NO,,,,
Aggregates,Change in wave exposure,Slope sediment,NO,,,,
Aggregates,Change in wave exposure,Deep Sea rock & reef,NO,,,,
Aggregates,Change in wave exposure,Deep Sea Sediment,NO,,,,
Aggregates,Change in wave exposure,Coastal Pelagic,NO,,,,
Aggregates,Change in wave exposure,Shelf Pelagic,NO,,,,
Aggregates,Change in wave exposure,Oceanic Pelagic,NO,,,,
Aggregates,Change in wave exposure,Marine Mammals,NO,,,,
Aggregates,Change in wave exposure,Pelagic Fish,NO,,,,
Aggregates,Change in wave exposure,Demersal Fish,NO,,,,
Aggregates,Change in wave exposure,Deep-sea Fish,NO,,,,
Aggregates,Change in wave exposure,Deep-sea Elasmobranchs,NO,,,,
Aggregates,Change in wave exposure,Pelagic Elasmobranchs,NO,,,,
Aggregates,Change in wave exposure,Demersal Elasmobranchs,NO,,,,
Aggregates,Change in wave exposure,Reptiles,NO,,,,
Aggregates,Change in wave exposure,Marine birds,NO,,,,
Aggregates,Change in wave exposure,Cephalopods,NO,,,,
Aggregates,Current Changes,Littoral rock & reef,NO,,,,
Aggregates,Current Changes,Littoral sediment,NO,,,,
Aggregates,Current Changes,Mangroves,NO,,,,
Aggregates,Current Changes,Saltmarshes,NO,,,,
Aggregates,Current Changes,Shallow rock & reef,NO,,,,
Aggregates,Current Changes,Shallow sediment,NO,,,,
Aggregates,Current Changes,Shelf rock & reef,NO,,,,
Aggregates,Current Changes,Shelf sediment,NO,,,,
Aggregates,Current Changes,Slope rock & reef,NO,,,,
Aggregates,Current Changes,Slope sediment,NO,,,,
Aggregates,Current Changes,Deep Sea rock & reef,NO,,,,
Aggregates,Current Changes,Deep Sea Sediment,NO,,,,
Aggregates,Current Changes,Coastal Pelagic,NO,,,,
Aggregates,Current Changes,Shelf Pelagic,NO,,,,
Aggregates,Current Changes,Oceanic Pelagic,NO,,,,
Aggregates,Current Changes,Marine Mammals,NO,,,,
Aggregates,Current Changes,Pelagic Fish,NO,,,,
Aggregates,Current Changes,Demersal Fish,NO,,,,
Aggregates,Current Changes, Deep-sea Fish,NO,,,,
Aggregates,Current Changes,Deep-sea Elasmobranchs,NO,,,,
Aggregates,Current Changes,Pelagic Elasmobranchs,NO,,,,
Aggregates,Current Changes,Demersal Elasmobranchs,NO,,,,
Aggregates,Current Changes,Reptiles,NO,,,,
Aggregates,Current Changes,Marine birds,NO,,,,
Aggregates,Current Changes,Cephalopods,NO,,,,
Aggregates,pH changes,Littoral rock & reef,NO,,,,
Aggregates,pH changes,Littoral sediment,NO,,,,
Aggregates,pH changes,Mangroves,NO,,,,
Aggregates,pH changes,Saltmarshes,NO,,,,
Aggregates,pH changes,Shallow rock & reef,NO,,,,
Aggregates,pH changes,Shallow sediment,NO,,,,
Aggregates,pH changes,Shelf rock & reef,NO,,,,
Aggregates,pH changes,Shelf sediment,NO,,,,
Aggregates,pH changes,Slope rock & reef,NO,,,,
Aggregates,pH changes, Slope sediment,NO,,,,
Aggregates,pH changes,Deep Sea rock & reef,NO,,,,
Aggregates,pH changes,Deep Sea Sediment,NO,,,,
Aggregates,pH changes,Coastal Pelagic,NO,,,,
Aggregates,pH changes,Shelf Pelagic,NO,,,,
Aggregates,pH changes,Oceanic Pelagic,NO,,,,
Aggregates,pH changes,Marine Mammals,NO,,,,
Aggregates,pH changes,Pelagic Fish,NO,,,,
Aggregates,pH changes, Demersal Fish,NO,,,,
Aggregates,pH changes,Deep-sea Fish,NO,,,,
Aggregates,pH changes,Deep-sea Elasmobranchs,NO,,,,
Aggregates,pH changes,Pelagic Elasmobranchs,NO,,,,
Aggregates,pH changes,Demersal Elasmobranchs,NO,,,,
Aggregates,pH changes,Reptiles,NO,,,,
Aggregates,pH changes,Marine birds,NO,,,,
Aggregates,pH changes,Cephalopods,NO,,,,
Aggregates,Electromagnetic (EMF),Littoral rock & reef,NO,,,,
Aggregates,Electromagnetic (EMF),Littoral sediment,NO,,,,
Aggregates,Electromagnetic (EMF),Mangroves,NO,,,,
Aggregates,Electromagnetic (EMF),Saltmarshes,NO,,,,
Aggregates,Electromagnetic (EMF),Shallow rock & reef,NO,,,,
Aggregates,Electromagnetic (EMF),Shallow sediment,NO,,,,
