Sector,Pressure,Ecological Characteristic,Overlap,Frequency,DoI,Reilience,Persistence
Aggregates,Bycatch,Slope Sediment,NO,,,,
Aggregates,Bycatch,Slope Rock & Reef,NO,,,,
Aggregates,Bycatch,Shelf Sediment,NO,,,,
Aggregates,Bycatch,Shelf Rock & Reef,NO,,,,
Aggregates,Bycatch,Shallow Sediment,NO,,,,
Aggregates,Bycatch,Shallow Rock & Reef,NO,,,,
Aggregates,Bycatch,Littoral Sediment,NO,,,,
Aggregates,Bycatch,Littoral Rock & Reef,NO,,,,
Aggregates,Bycatch,Saltmarsh,NO,,,,
Aggregates,Bycatch,Mangrove,NO,,,,
Aggregates,Contaminants,Demersal Elasmo,NO,,,,
Aggregates,Contaminants,Pelagic Elasmo,NO,,,,
Aggregates,Contaminants,Deep Sea Elasmo,NO,,,,
Aggregates,Contaminants, Reptiles,NO,,,,
Aggregates,Contaminants,Cephalopods,NO,,,,
Aggregates,Contaminants,Deep Sea Fish,NO,,,,
Aggregates,Contaminants,Demersal Fish,NO,,,,
Aggregates,Contaminants,Pelagic Fish,NO,,,,
Aggregates,Contaminants,Seabirds,NO,,,,
Aggregates,Contaminants,Marine Mammals,NO,,,,
Aggregates,Contaminants,Oceanic Pelagic,NO,,,,
Aggregates,Contaminants,Shelf Pelagic,NO,,,,
Aggregates,Contaminants,Coastal Pelagic,NO,,,,
Aggregates,Contaminants,Deep Sea Sediment,NO,,,,
Aggregates,Contaminants,Deep Sea Rock & Reef,NO,,,,
Aggregates,Contaminants,Slope Sediment,NO,,,,
Aggregates,Contaminants,Slope Rock & Reef,NO,,,,
Aggregates,Contaminants,Shelf Sediment,NO,,,,
Aggregates,Contaminants,Shelf Rock & Reef,NO,,,,
Aggregates,Contaminants,Shallow Sediment,NO,,,,
Aggregates,Contaminants,Shallow Rock & Reef,NO,,,,
Aggregates,Contaminants,Littoral Sediment,NO,,,,
Aggregates,Contaminants,Littoral Rock & Reef,NO,,,,
Aggregates,Contaminants,Saltmarsh,NO,,,,
Aggregates,Contaminants,Mangrove,NO,,,,
Aggregates,Current Changes,Demersal Elasmo,NO,,,,
Aggregates,Current Changes,Pelagic Elasmo,NO,,,,
Aggregates,Current Changes,Deep Sea Elasmo,NO,,,,
Aggregates,Current Changes, Reptiles,NO,,,,
Aggregates,Current Changes,Cephalopods,NO,,,,
Aggregates,Current Changes,Deep Sea Fish,NO,,,,
Aggregates,Current Changes,Demersal Fish,NO,,,,
Aggregates,Current Changes,Pelagic Fish,NO,,,,
Aggregates,Current Changes,Seabirds,NO,,,,
Aggregates,Current Changes,Marine Mammals,NO,,,,
Aggregates,Current Changes,Oceanic Pelagic,NO,,,,
Aggregates,Current Changes,Shelf Pelagic,NO,,,,
Aggregates,Current Changes,Coastal Pelagic,NO,,,,
Aggregates,Current Changes,Deep Sea Sediment,NO,,,,
Aggregates,Current Changes,Deep Sea Rock & Reef,NO,,,,
Aggregates,Current Changes,Slope Sediment,NO,,,,
Aggregates,Current Changes,Slope Rock & Reef,NO,,,,
Aggregates,Current Changes,Shelf Sediment,NO,,,,
Aggregates,Current Changes,Shelf Rock & Reef,NO,,,,
Aggregates,Current Changes,Shallow Sediment,NO,,,,
Aggregates,Current Changes,Shallow Rock & Reef,NO,,,,
Aggregates,Current Changes,Littoral Sediment,NO,,,,
Aggregates,Current Changes,Littoral Rock & Reef,NO,,,,
Aggregates,Current Changes,Saltmarsh,NO,,,,
Aggregates,Current Changes,Mangrove,NO,,,,
Aggregates,EMF,Demersal Elasmo,NO,,,,
Aggregates,EMF,Pelagic Elasmo,NO,,,,
Aggregates,EMF,Deep Sea Elasmo,NO,,,,
Aggregates,EMF, Reptiles,NO,,,,
Aggregates,EMF,Cephalopods,NO,,,,
Aggregates,EMF,Deep Sea Fish,NO,,,,
Aggregates,EMF,Demersal Fish,NO,,,,
Aggregates,EMF,Pelagic Fish,NO,,,,
Aggregates,EMF,Seabirds,NO,,,,
Aggregates,EMF,Marine Mammals,NO,,,,
Aggregates,EMF,Oceanic Pelagic,NO,,,,
Aggregates,EMF,Shelf Pelagic,NO,,,,
Aggregates,EMF,Coastal Pelagic,NO,,,,
Aggregates,EMF,Deep Sea Sediment,NO,,,,
Aggregates,EMF,Deep Sea Rock & Reef,NO,,,,
Aggregates,EMF,Slope Sediment,NO,,,,
Aggregates,EMF,Slope Rock & Reef,NO,,,,
Aggregates,EMF,Shelf Sediment,NO,,,,
Aggregates,EMF,Shelf Rock & Reef,NO,,,,
Aggregates,EMF,Shallow Sediment,NO,,,,
Aggregates,EMF,Shallow Rock & Reef,NO,,,,
Aggregates,EMF,Littoral Sediment,NO,,,,
Aggregates,EMF,Littoral Rock & Reef,NO,,,,
Aggregates,EMF,Saltmarsh,NO,,,,
Aggregates,EMF,Mangrove,NO,,,,
Aggregates,Incidental Loss,Demersal Elasmo,NO,,,,
Aggregates,Incidental Loss,Pelagic Elasmo,NO,,,,
Aggregates,Incidental Loss,Deep Sea Elasmo,NO,,,,
Aggregates,Incidental Loss, Reptiles,L,R,L,,
Aggregates,Incidental Loss,Cephalopods,NO,,,,
Aggregates,Incidental Loss,Deep Sea Fish,NO,,,,
Aggregates,Incidental Loss,Demersal Fish,NO,,,,
Aggregates,Incidental Loss,Pelagic Fish,NO,,,,
Aggregates,Incidental Loss,Seabirds,NO,,,,
Aggregates,Incidental Loss,Marine Mammals,NO,,,,
Aggregates,Incidental Loss,Oceanic Pelagic,NO,,,,
Aggregates,Incidental Loss,Shelf Pelagic,NO,,,,
Aggregates,Incidental Loss,Coastal Pelagic,NO,,,,
Aggregates,Incidental Loss,Deep Sea Sediment,NO,,,,
Aggregates,Incidental Loss,Deep Sea Rock & Reef,NO,,,,
Aggregates,Incidental Loss,Slope Sediment,NO,,,,
Aggregates,Incidental Loss,Slope Rock & Reef,NO,,,,
Aggregates,Incidental Loss,Shelf Sediment,NO,,,,
Aggregates,Incidental Loss,Shelf Rock & Reef,NO,,,,
Aggregates,Incidental Loss,Shallow Sediment,L,P,L,,
Aggregates,Incidental Loss,Shallow Rock & Reef,L,P,L,,
Aggregates,Incidental Loss,Littoral Sediment,L,P,L,,
Aggregates,Incidental Loss,Littoral Rock & Reef,L,P,L,,
Aggregates,Incidental Loss,Saltmarsh,NO,,,,
Aggregates,Incidental Loss,Mangrove,NO,,,,
Aggregates,Invasive Species,Demersal Elasmo,NO,,,,
Aggregates,Invasive Species,Pelagic Elasmo,NO,,,,
Aggregates,Invasive Species,Deep Sea Elasmo,NO,,,,
Aggregates,Invasive Species, Reptiles,NO,,,,
Aggregates,Invasive Species,Cephalopods,NO,,,,
Aggregates,Invasive Species,Deep Sea Fish,NO,,,,
Aggregates,Invasive Species,Demersal Fish,NO,,,,
Aggregates,Invasive Species,Pelagic Fish,NO,,,,
Aggregates,Invasive Species,Seabirds,NO,,,,
Aggregates,Invasive Species,Marine Mammals,NO,,,,
Aggregates,Invasive Species,Oceanic Pelagic,NO,,,,
Aggregates,Invasive Species,Shelf Pelagic,NO,,,,
Aggregates,Invasive Species,Coastal Pelagic,NO,,,,
Aggregates,Invasive Species,Deep Sea Sediment,NO,,,,
Aggregates,Invasive Species,Deep Sea Rock & Reef,NO,,,,
Aggregates,Invasive Species,Slope Sediment,NO,,,,
Aggregates,Invasive Species,Slope Rock & Reef,NO,,,,
Aggregates,Invasive Species,Shelf Sediment,NO,,,,
Aggregates,Invasive Species,Shelf Rock & Reef,NO,,,,
Aggregates,Invasive Species,Shallow Sediment,NO,,,,
Aggregates,Invasive Species,Shallow Rock & Reef,NO,,,,
Aggregates,Invasive Species,Littoral Sediment,NO,,,,
Aggregates,Invasive Species,Littoral Rock & Reef,NO,,,,
Aggregates,Invasive Species,Saltmarsh,NO,,,,
Aggregates,Invasive Species,Mangrove,NO,,,,
Aggregates,Litter,Demersal Elasmo,NO,,,,
Aggregates,Litter,Pelagic Elasmo,NO,,,,
Aggregates,Litter,Deep Sea Elasmo,NO,,,,
Aggregates,Litter, Reptiles,NO,,,,
Aggregates,Litter,Cephalopods,NO,,,,
Aggregates,Litter,Deep Sea Fish,NO,,,,
Aggregates,Litter,Demersal Fish,NO,,,,
Aggregates,Litter,Pelagic Fish,NO,,,,
Aggregates,Litter,Seabirds,NO,,,,
Aggregates,Litter,Marine Mammals,NO,,,,
Aggregates,Litter,Oceanic Pelagic,NO,,,,
Aggregates,Litter,Shelf Pelagic,NO,,,,
Aggregates,Litter,Coastal Pelagic,NO,,,,
Aggregates,Litter,Deep Sea Sediment,NO,,,,
Aggregates,Litter,Deep Sea Rock & Reef,NO,,,,
Aggregates,Litter,Slope Sediment,NO,,,,
Aggregates,Litter,Slope Rock & Reef,NO,,,,
Aggregates,Litter,Shelf Sediment,NO,,,,
Aggregates,Litter,Shelf Rock & Reef,NO,,,,
Aggregates,Litter,Shallow Sediment,NO,,,,
Aggregates,Litter,Shallow Rock & Reef,NO,,,,
Aggregates,Litter,Littoral Sediment,NO,,,,
Aggregates,Litter,Littoral Rock & Reef,NO,,,,
Aggregates,Litter,Saltmarsh,NO,,,,
Aggregates,Litter,Mangrove,NO,,,,
Aggregates,Noise,Demersal Elasmo,NO,,,,
Aggregates,Noise,Pelagic Elasmo,NO,,,,
Aggregates,Noise,Deep Sea Elasmo,NO,,,,
Aggregates,Noise, Reptiles,L,R,L,,
Aggregates,Noise,Cephalopods,NO,,,,
Aggregates,Noise,Deep Sea Fish,NO,,,,
Aggregates,Noise,Demersal Fish,NO,,,,
Aggregates,Noise,Pelagic Fish,NO,,,,
Aggregates,Noise,Seabirds,NO,,,,
Aggregates,Noise,Marine Mammals,NO,,,,
Aggregates,Noise,Oceanic Pelagic,NO,,,,
Aggregates,Noise,Shelf Pelagic,NO,,,,
Aggregates,Noise,Coastal Pelagic,NO,,,,
Aggregates,Noise,Deep Sea Sediment,NO,,,,
Aggregates,Noise,Deep Sea Rock & Reef,NO,,,,
Aggregates,Noise,Slope Sediment,NO,,,,
Aggregates,Noise,Slope Rock & Reef,NO,,,,
Aggregates,Noise,Shelf Sediment,NO,,,,
Aggregates,Noise,Shelf Rock & Reef,NO,,,,
Aggregates,Noise,Shallow Sediment,NO,,,,
Aggregates,Noise,Shallow Rock & Reef,NO,,,,
Aggregates,Noise,Littoral Sediment,NO,,,,
Aggregates,Noise,Littoral Rock & Reef,NO,,,,
Aggregates,Noise,Saltmarsh,NO,,,,
Aggregates,Noise,Mangrove,NO,,,,
Aggregates,Non-living Resources,Demersal Elasmo,NO,,,,
Aggregates,Non-living Resources,Pelagic Elasmo,NO,,,,
Aggregates,Non-living Resources,Deep Sea Elasmo,NO,,,,
Aggregates,Non-living Resources, Reptiles,S,R,L,,
Aggregates,Non-living Resources,Cephalopods,NO,,,,
Aggregates,Non-living Resources,Deep Sea Fish,NO,,,,
Aggregates,Non-living Resources,Demersal Fish,NO,,,,
Aggregates,Non-living Resources,Pelagic Fish,NO,,,,
Aggregates,Non-living Resources,Seabirds,NO,,,,
Aggregates,Non-living Resources,Marine Mammals,NO,,,,
Aggregates,Non-living Resources,Oceanic Pelagic,NO,,,,
Aggregates,Non-living Resources,Shelf Pelagic,NO,,,,
Aggregates,Non-living Resources,Coastal Pelagic,NO,,,,
Aggregates,Non-living Resources,Deep Sea Sediment,NO,,,,
Aggregates,Non-living Resources,Deep Sea Rock & Reef,NO,,,,
Aggregates,Non-living Resources,Slope Sediment,NO,,,,
Aggregates,Non-living Resources,Slope Rock & Reef,NO,,,,
Aggregates,Non-living Resources,Shelf Sediment,NO,,,,
Aggregates,Non-living Resources,Shelf Rock & Reef,NO,,,,
Aggregates,Non-living Resources,Shallow Sediment,S,P,L,,
Aggregates,Non-living Resources,Shallow Rock & Reef,NO,,,,
Aggregates,Non-living Resources,Littoral Sediment,S,P,L,,
Aggregates,Non-living Resources,Littoral Rock & Reef,NO,,,,
Aggregates,Non-living Resources,Saltmarsh,NO,,,,
Aggregates,Non-living Resources,Mangrove,NO,,,,
Aggregates,Organic Matter/NP,Demersal Elasmo,NO,,,,
Aggregates,Organic Matter/NP,Pelagic Elasmo,NO,,,,
Aggregates,Organic Matter/NP,Deep Sea Elasmo,NO,,,,
Aggregates,Organic Matter/NP, Reptiles,NO,,,,
Aggregates,Organic Matter/NP,Cephalopods,NO,,,,
Aggregates,Organic Matter/NP,Deep Sea Fish,NO,,,,
Aggregates,Organic Matter/NP,Demersal Fish,NO,,,,
Aggregates,Organic Matter/NP,Pelagic Fish,NO,,,,
Aggregates,Organic Matter/NP,Seabirds,NO,,,,
Aggregates,Organic Matter/NP,Marine Mammals,NO,,,,
Aggregates,Organic Matter/NP,Oceanic Pelagic,NO,,,,
Aggregates,Organic Matter/NP,Shelf Pelagic,NO,,,,
Aggregates,Organic Matter/NP,Coastal Pelagic,NO,,,,
Aggregates,Organic Matter/NP,Deep Sea Sediment,NO,,,,
Aggregates,Organic Matter/NP,Deep Sea Rock & Reef,NO,,,,
Aggregates,Organic Matter/NP,Slope Sediment,NO,,,,
Aggregates,Organic Matter/NP,Slope Rock & Reef,NO,,,,
Aggregates,Organic Matter/NP,Shelf Sediment,NO,,,,
Aggregates,Organic Matter/NP,Shelf Rock & Reef,NO,,,,
Aggregates,Organic Matter/NP,Shallow Sediment,NO,,,,
Aggregates,Organic Matter/NP,Shallow Rock & Reef,NO,,,,
Aggregates,Organic Matter/NP,Littoral Sediment,NO,,,,
Aggregates,Organic Matter/NP,Littoral Rock & Reef,NO,,,,
Aggregates,Organic Matter/NP,Saltmarsh,NO,,,,
Aggregates,Organic Matter/NP,Mangrove,NO,,,,
Aggregates,pH Changes,Demersal Elasmo,NO,,,,
Aggregates,pH Changes,Pelagic Elasmo,NO,,,,
Aggregates,pH Changes,Deep Sea Elasmo,NO,,,,
Aggregates,pH Changes, Reptiles,NO,,,,
Aggregates,pH Changes,Cephalopods,NO,,,,
Aggregates,pH Changes,Deep Sea Fish,NO,,,,
Aggregates,pH Changes,Demersal Fish,NO,,,,
Aggregates,pH Changes,Pelagic Fish,NO,,,,
Aggregates,pH Changes,Seabirds,NO,,,,
Aggregates,pH Changes,Marine Mammals,NO,,,,
Aggregates,pH Changes,Oceanic Pelagic,NO,,,,
Aggregates,pH Changes,Shelf Pelagic,NO,,,,
Aggregates,pH Changes,Coastal Pelagic,NO,,,,
Aggregates,pH Changes,Deep Sea Sediment,NO,,,,
Aggregates,pH Changes,Deep Sea Rock & Reef,NO,,,,
Aggregates,pH Changes,Slope Sediment,NO,,,,
Aggregates,pH Changes,Slope Rock & Reef,NO,,,,
Aggregates,pH Changes,Shelf Sediment,NO,,,,
Aggregates,pH Changes,Shelf Rock & Reef,NO,,,,
Aggregates,pH Changes,Shallow Sediment,NO,,,,
Aggregates,pH Changes,Shallow Rock & Reef,NO,,,,
Aggregates,pH Changes,Littoral Sediment,NO,,,,
Aggregates,pH Changes,Littoral Rock & Reef,NO,,,,
Aggregates,pH Changes,Saltmarsh,NO,,,,
Aggregates,pH Changes,Mangrove,NO,,,,
Aggregates,Salinity Regime,Demersal Elasmo,NO,,,,
Aggregates,Salinity Regime,Pelagic Elasmo,NO,,,,
Aggregates,Salinity Regime,Deep Sea Elasmo,NO,,,,
Aggregates,Salinity Regime, Reptiles,NO,,,,
Aggregates,Salinity Regime,Cephalopods,NO,,,,
Aggregates,Salinity Regime,Deep Sea Fish,NO,,,,
Aggregates,Salinity Regime,Demersal Fish,NO,,,,
Aggregates,Salinity Regime,Pelagic Fish,NO,,,,
Aggregates,Salinity Regime,Seabirds,NO,,,,
Aggregates,Salinity Regime,Marine Mammals,NO,,,,
Aggregates,Salinity Regime,Oceanic Pelagic,NO,,,,
Aggregates,Salinity Regime,Shelf Pelagic,NO,,,,
Aggregates,Salinity Regime,Coastal Pelagic,NO,,,,
Aggregates,Salinity Regime,Deep Sea Sediment,NO,,,,
Aggregates,Salinity Regime,Deep Sea Rock & Reef,NO,,,,
Aggregates,Salinity Regime,Slope Sediment,NO,,,,
Aggregates,Salinity Regime,Slope Rock & Reef,NO,,,,
Aggregates,Salinity Regime,Shelf Sediment,NO,,,,
Aggregates,Salinity Regime,Shelf Rock & Reef,NO,,,,
Aggregates,Salinity Regime,Shallow Sediment,NO,,,,
Aggregates,Salinity Regime,Shallow Rock & Reef,NO,,,,
Aggregates,Salinity Regime,Littoral Sediment,NO,,,,
Aggregates,Salinity Regime,Littoral Rock & Reef,NO,,,,
Aggregates,Salinity Regime,Saltmarsh,NO,,,,
Aggregates,Salinity Regime,Mangrove,NO,,,,
Aggregates,Sealing,Demersal Elasmo,NO,,,,
Aggregates,Sealing,Pelagic Elasmo,NO,,,,
Aggregates,Sealing,Deep Sea Elasmo,NO,,,,
Aggregates,Sealing, Reptiles,NO,,,,
Aggregates,Sealing,Cephalopods,NO,,,,
Aggregates,Sealing,Deep Sea Fish,NO,,,,
Aggregates,Sealing,Pelagic Fish,NO,,,,
Aggregates,Sealing,Demersal Fish,NO,,,,
Aggregates,Sealing,Seabirds,NO,,,,
Aggregates,Sealing,Marine Mammals,NO,,,,
Aggregates,Sealing,Oceanic Pelagic,NO,,,,
Aggregates,Sealing,Shelf Pelagic,NO,,,,
Aggregates,Sealing,Coastal Pelagic,NO,,,,
Aggregates,Sealing,Deep Sea Sediment,NO,,,,
Aggregates,Sealing,Deep Sea Rock & Reef,NO,,,,
Aggregates,Sealing,Slope Sediment,NO,,,,
Aggregates,Sealing,Slope Rock & Reef,NO,,,,
Aggregates,Sealing,Shelf Sediment,NO,,,,
Aggregates,Sealing,Shelf Rock & Reef,NO,,,,
Aggregates,Sealing,Shallow Sediment,NO,,,,
Aggregates,Sealing,Shallow Rock & Reef,NO,,,,
Aggregates,Sealing,Littoral Sediment,NO,,,,
Aggregates,Sealing,Littoral Rock & Reef,NO,,,,
Aggregates,Sealing,Saltmarsh,NO,,,,
Aggregates,Sealing,Mangrove,NO,,,,
Aggregates,Siltation/Smothering,Demersal Elasmo,NO,,,,
Aggregates,Siltation/Smothering,Pelagic Elasmo,NO,,,,
Aggregates,Siltation/Smothering,Deep Sea Elasmo,NO,,,,
Aggregates,Siltation/Smothering, Reptiles,NO,,,,
Aggregates,Siltation/Smothering,Cephalopods,NO,,,,
Aggregates,Siltation/Smothering,Deep Sea Fish,NO,,,,
Aggregates,Siltation/Smothering,Demersal Fish,NO,,,,
Aggregates,Siltation/Smothering,Pelagic Fish,NO,,,,
Aggregates,Siltation/Smothering,Seabirds,NO,,,,
Aggregates,Siltation/Smothering,Marine Mammals,NO,,,,
Aggregates,Siltation/Smothering,Oceanic Pelagic,NO,,,,
Aggregates,Siltation/Smothering,Shelf Pelagic,NO,,,,
Aggregates,Siltation/Smothering,Coastal Pelagic,NO,,,,
Aggregates,Siltation/Smothering,Deep Sea Sediment,NO,,,,
Aggregates,Siltation/Smothering,Deep Sea Rock & Reef,NO,,,,
Aggregates,Siltation/Smothering,Slope Sediment,NO,,,,
Aggregates,Siltation/Smothering,Slope Rock & Reef,NO,,,,
Aggregates,Siltation/Smothering,Shelf Sediment,NO,,,,
Aggregates,Siltation/Smothering,Shelf Rock & Reef,NO,,,,
Aggregates,Siltation/Smothering,Shallow Sediment,NO,,,,
Aggregates,Siltation/Smothering,Shallow Rock & Reef,NO,,,,
Aggregates,Siltation/Smothering,Littoral Sediment,NO,,,,
Aggregates,Siltation/Smothering,Littoral Rock & Reef,NO,,,,
Aggregates,Siltation/Smothering,Saltmarsh,NO,,,,
Aggregates,Siltation/Smothering,Mangrove,NO,,,,
Aggregates,Species Extraction,Demersal Elasmo,NO,,,,
Aggregates,Species Extraction,Pelagic Elasmo,NO,,,,
Aggregates,Species Extraction,Deep Sea Elasmo,NO,,,,
Aggregates,Species Extraction, Reptiles,NO,,,,
Aggregates,Species Extraction,Cephalopods,NO,,,,
Aggregates,Species Extraction,Deep Sea Fish,NO,,,,
Aggregates,Species Extraction,Demersal Fish,NO,,,,
Aggregates,Species Extraction,Pelagic Fish,NO,,,,
Aggregates,Species Extraction,Seabirds,NO,,,,
Aggregates,Species Extraction,Marine Mammals,NO,,,,
Aggregates,Species Extraction,Oceanic Pelagic,NO,,,,
Aggregates,Species Extraction,Shelf Pelagic,NO,,,,
Aggregates,Species Extraction,Coastal Pelagic,NO,,,,
Aggregates,Species Extraction,Deep Sea Sediment,NO,,,,
Aggregates,Species Extraction,Deep Sea Rock & Reef,NO,,,,
Aggregates,Species Extraction,Slope Sediment,NO,,,,
Aggregates,Species Extraction,Slope Rock & Reef,NO,,,,
Aggregates,Species Extraction,Shelf Sediment,NO,,,,
Aggregates,Species Extraction,Shelf Rock & Reef,NO,,,,
Aggregates,Species Extraction,Shallow Sediment,NO,,,,
Aggregates,Species Extraction,Shallow Rock & Reef,NO,,,,
Aggregates,Species Extraction,Littoral Sediment,NO,,,,
Aggregates,Species Extraction,Littoral Rock & Reef,NO,,,,
Aggregates,Species Extraction,Saltmarsh,NO,,,,
Aggregates,Species Extraction,Mangrove,NO,,,,
Aggregates,Thermal Regime,Demersal Elasmo,NO,,,,
Aggregates,Thermal Regime,Pelagic Elasmo,NO,,,,
Aggregates,Thermal Regime,Deep Sea Elasmo,NO,,,,
Aggregates,Thermal Regime, Reptiles,NO,,,,
Aggregates,Thermal Regime,Cephalopods,NO,,,,
Aggregates,Thermal Regime,Deep Sea Fish,NO,,,,
Aggregates,Thermal Regime,Demersal Fish,NO,,,,
Aggregates,Thermal Regime,Pelagic Fish,NO,,,,
Aggregates,Thermal Regime,Seabirds,NO,,,,
Aggregates,Thermal Regime,Marine Mammals,NO,,,,
Aggregates,Thermal Regime,Oceanic Pelagic,NO,,,,
Aggregates,Thermal Regime,Shelf Pelagic,NO,,,,
Aggregates,Thermal Regime,Coastal Pelagic,NO,,,,
Aggregates,Thermal Regime,Deep Sea Sediment,NO,,,,
Aggregates,Thermal Regime,Deep Sea Rock & Reef,NO,,,,
Aggregates,Thermal Regime,Slope Sediment,NO,,,,
Aggregates,Thermal Regime,Slope Rock & Reef,NO,,,,
Aggregates,Thermal Regime,Shelf Sediment,NO,,,,
Aggregates,Thermal Regime,Shelf Rock & Reef,NO,,,,
Aggregates,Thermal Regime,Shallow Sediment,NO,,,,
Aggregates,Thermal Regime,Shallow Rock & Reef,NO,,,,
Aggregates,Thermal Regime,Littoral Sediment,NO,,,,
Aggregates,Thermal Regime,Littoral Rock & Reef,NO,,,,
Aggregates,Thermal Regime,Saltmarsh,NO,,,,
Aggregates,Thermal Regime,Mangrove,NO,,,,
Aggregates,Wave Exposure,Demersal Elasmo,NO,,,,
Aggregates,Wave Exposure,Pelagic Elasmo,NO,,,,
Aggregates,Wave Exposure,Deep Sea Elasmo,NO,,,,
Aggregates,Wave Exposure, Reptiles,NO,,,,
Aggregates,Wave Exposure,Cephalopods,NO,,,,
Aggregates,Wave Exposure,Deep Sea Fish,NO,,,,
Aggregates,Wave Exposure,Demersal Fish,NO,,,,
Aggregates,Wave Exposure,Pelagic Fish,NO,,,,
Aggregates,Wave Exposure,Seabirds,NO,,,,
Aggregates,Wave Exposure,Marine Mammals,NO,,,,
Aggregates,Wave Exposure,Oceanic Pelagic,NO,,,,
Aggregates,Wave Exposure,Shelf Pelagic,NO,,,,
Aggregates,Wave Exposure,Coastal Pelagic,NO,,,,
Aggregates,Wave Exposure,Deep Sea Sediment,NO,,,,
Aggregates,Wave Exposure,Deep Sea Rock & Reef,NO,,,,
Aggregates,Wave Exposure,Slope Sediment,NO,,,,
Aggregates,Wave Exposure,Slope Rock & Reef,NO,,,,
Aggregates,Wave Exposure,Shelf Sediment,NO,,,,
Aggregates,Wave Exposure,Shelf Rock & Reef,NO,,,,
Aggregates,Wave Exposure,Shallow Sediment,NO,,,,
Aggregates,Wave Exposure,Shallow Rock & Reef,NO,,,,
Aggregates,Wave Exposure,Littoral Sediment,NO,,,,
Aggregates,Wave Exposure,Littoral Rock & Reef,NO,,,,
Aggregates,Wave Exposure,Saltmarsh,NO,,,,
Aggregates,Wave Exposure,Mangrove,NO,,,,
Agriculture,Abrasion,Demersal Elasmo,NO,,,,
