idsec,Sector,idpressure,Pressure,ideco,Ecological Characteristic,Overlap,Frequency,DoI
1,Aggregates,4,Non-living Resources,13,Coastal Pelagic,S,P,C
1,Aggregates,4,Non-living Resources,14,Shelf Pelagic,S,P,C
1,Aggregates,4,Non-living Resources,15,Oceanic Pelagic,NO,,
1,Aggregates,4,Non-living Resources,16,Marine Mammals,S,P,C
1,Aggregates,4,Non-living Resources,17,Pelagic Fish,S,P,C
1,Aggregates,4,Non-living Resources,18,Demersal Fish,S,P,C
1,Aggregates,4,Non-living Resources,19,Deep-sea Fish,NO,,
1,Aggregates,4,Non-living Resources,20,Deep-sea Elasmobranchs,NO,,
1,Aggregates,4,Non-living Resources,21,Pelagic Elasmobranchs,S,P,C
1,Aggregates,4,Non-living Resources,22,Demersal Elasmobranchs,S,P,C
1,Aggregates,4,Non-living Resources,23,Reptiles,S,P,C
1,Aggregates,4,Non-living Resources,24,Marine birds,NO,,
1,Aggregates,4,Non-living Resources,25,Cephalopods,S,P,C
1,Aggregates,5,Noise,1,Littoral rock & reef,NO,,
1,Aggregates,5,Noise,2,Littoral sediment,S,P,L
1,Aggregates,5,Noise,3,Mangroves,NO,,
1,Aggregates,5,Noise,4,Saltmarshes,NO,,
1,Aggregates,5,Noise,5,Shallow rock & reef,NO,,
1,Aggregates,5,Noise,6,Shallow sediment,S,P,L
1,Aggregates,5,Noise,7,Shelf rock & reef,NO,,
1,Aggregates,5,Noise,8,Shelf sediment,S,P,C
1,Aggregates,5,Noise,9,Slope rock & reef,NO,,
1,Aggregates,5,Noise,10,Slope sediment,NO,,
1,Aggregates,5,Noise,11,Deep Sea rock & reef,NO,,
1,Aggregates,5,Noise,12,Deep Sea Sediment,NO,,
1,Aggregates,5,Noise,13, Coastal Pelagic,NO,,
1,Aggregates,5,Noise,14,Shelf Pelagic,NO,,
1,Aggregates,5,Noise,15,Oceanic Pelagic,NO,,
1,Aggregates,5,Noise,16,Marine Mammals,L,P,C
1,Aggregates,5,Noise,17,Pelagic Fish,NO,,
1,Aggregates,5,Noise,18,Demersal Fish,S,P,L
1,Aggregates,5,Noise,19,Deep-sea Fish,NO,,
1,Aggregates,5,Noise,20,Deep-sea Elasmobranchs,NO,,
1,Aggregates,5,Noise,21,Pelagic Elasmobranchs,S,P,L
1,Aggregates,5,Noise,22,Demersal Elasmobranchs,S,P,L
1,Aggregates,5,Noise,23,Reptiles,NO,,
1,Aggregates,5,Noise,24,Marine birds,NO,,
1,Aggregates,5,Noise,25,Cephalopods,S,P,L
1,Aggregates,6,Litter,1,Littoral rock & reef,NO,,
1,Aggregates,6,Litter,2,Littoral sediment,S,P,L
1,Aggregates,6,Litter,3,Mangroves,NO,,
1,Aggregates,6,Litter,4,Saltmarshes,NO,,
1,Aggregates,6,Litter,5,Shallow rock & reef,NO,,
1,Aggregates,6,Litter,6,Shallow sediment,S,P,L
1,Aggregates,6,Litter,7,Shelf rock & reef,NO,,
1,Aggregates,6,Litter,8,Shelf sediment,S,P,L
1,Aggregates,6,Litter,9,Slope rock & reef,NO,,
1,Aggregates,6,Litter,10,Slope sediment,NO,,
1,Aggregates,6,Litter,11,Deep Sea rock & reef,NO,,
1,Aggregates,6,Litter,12,Deep Sea Sediment,NO,,
1,Aggregates,6,Litter,13,Coastal Pelagic,S,P,L
1,Aggregates,6,Litter,14,Shelf Pelagic,S,P,L
1,Aggregates,6,Litter,15,Oceanic Pelagic,NO,,
1,Aggregates,6,Litter,16,Marine Mammals,S,P,L
1,Aggregates,6,Litter,17,Pelagic Fish,S,P,L
1,Aggregates,6,Litter,18,Demersal Fish,S,P,L
1,Aggregates,6,Litter,19,Deep-sea Fish,NO,,
1,Aggregates,6,Litter,20,Deep-sea Elasmobranchs,NO,,
1,Aggregates,6,Litter,21,Pelagic Elasmobranchs,S,P,L
1,Aggregates,6,Litter,22,Demersal Elasmobranchs,S,P,L
1,Aggregates,6,Litter,23,Reptiles,S,P,L
1,Aggregates,6,Litter,24,Marine birds,NO,,
1,Aggregates,6,Litter,25,Cephalopods,S,P,L
1,Aggregates,7,Thermal Regime,1,Littoral rock & reef,NO,,
1,Aggregates,7,Thermal Regime,2,Littoral sediment,NO,,
1,Aggregates,7,Thermal Regime,3, Mangroves,NO,,
1,Aggregates,7,Thermal Regime,4,Saltmarshes,NO,,
1,Aggregates,7,Thermal Regime,5,Shallow rock & reef,NO,,
1,Aggregates,7,Thermal Regime,6,Shallow sediment,NO,,
1,Aggregates,7,Thermal Regime,7,Shelf rock & reef,NO,,
1,Aggregates,7,Thermal Regime,8, Shelf sediment,NO,,
1,Aggregates,7,Thermal Regime,9,Slope rock & reef,NO,,
1,Aggregates,7,Thermal Regime,10,Slope sediment,NO,,
1,Aggregates,7,Thermal Regime,11,Deep Sea rock & reef,NO,,
1,Aggregates,7,Thermal Regime,12,Deep Sea Sediment,NO,,
1,Aggregates,7,Thermal Regime,13,Coastal Pelagic,NO,,
1,Aggregates,7,Thermal Regime,14,Shelf Pelagic,NO,,
1,Aggregates,7,Thermal Regime,15,Oceanic Pelagic,NO,,
1,Aggregates,7,Thermal Regime,16,Marine Mammals,NO,,
1,Aggregates,7,Thermal Regime,17,Pelagic Fish,NO,,
1,Aggregates,7,Thermal Regime,18,Demersal Fish,NO,,
1,Aggregates,7,Thermal Regime,19,Deep-sea Fish,NO,,
1,Aggregates,7,Thermal Regime,20,Deep-sea Elasmobranchs,NO,,
1,Aggregates,7,Thermal Regime,21,Pelagic Elasmobranchs,NO,,
1,Aggregates,7,Thermal Regime,22,Demersal Elasmobranchs,NO,,
1,Aggregates,7,Thermal Regime,23,Reptiles,NO,,
1,Aggregates,7,Thermal Regime,24, Marine birds,NO,,
1,Aggregates,7,Thermal Regime,25,Cephalopods,NO,,
1,Aggregates,8,Salinity Regime,1,Littoral rock & reef,NO,,
1,Aggregates,8,Salinity Regime,2,Littoral sediment,NO,,
1,Aggregates,8,Salinity Regime,3,Mangroves,NO,,
1,Aggregates,8,Salinity Regime,4,Saltmarshes,NO,,
1,Aggregates,8,Salinity Regime,5, Shallow rock & reef,NO,,
1,Aggregates,8,Salinity Regime,6, Shallow sediment,NO,,
1,Aggregates,8,Salinity Regime,7,Shelf rock & reef,NO,,
1,Aggregates,8,Salinity Regime,8,Shelf sediment,NO,,
1,Aggregates,8,Salinity Regime,9,Slope rock & reef,NO,,
1,Aggregates,8,Salinity Regime,10,Slope sediment,NO,,
1,Aggregates,8,Salinity Regime,11, Deep Sea rock & reef,NO,,
1,Aggregates,8,Salinity Regime,12,Deep Sea Sediment,NO,,
1,Aggregates,8,Salinity Regime,13,Coastal Pelagic,NO,,
1,Aggregates,8,Salinity Regime,14,Shelf Pelagic,NO,,
1,Aggregates,8,Salinity Regime,15,Oceanic Pelagic,NO,,
1,Aggregates,8,Salinity Regime,16, Marine Mammals,NO,,
1,Aggregates,8,Salinity Regime,17, Pelagic Fish,NO,,
1,Aggregates,8,Salinity Regime,18,Demersal Fish,NO,,
1,Aggregates,8,Salinity Regime,19,Deep-sea Fish,NO,,
1,Aggregates,8,Salinity Regime,20,Deep-sea Elasmobranchs,NO,,
1,Aggregates,8,Salinity Regime,21,Pelagic Elasmobranchs,NO,,
1,Aggregates,8,Salinity Regime,22,Demersal Elasmobranchs,NO,,
1,Aggregates,8,Salinity Regime,23,Reptiles,NO,,
1,Aggregates,8,Salinity Regime,24,Marine birds,NO,,
1,Aggregates,8,Salinity Regime,25,Cephalopods,NO,,
1,Aggregates,9,Introduction of Contaminating compounds,1,Littoral rock & reef,NO,,
1,Aggregates,9,Introduction of Contaminating compounds,2,Littoral sediment,NO,,
1,Aggregates,9,Introduction of Contaminating compounds,3,Mangroves,NO,,
1,Aggregates,9,Introduction of Contaminating compounds,4,Saltmarshes,NO,,
1,Aggregates,9,Introduction of Contaminating compounds,5,Shallow rock & reef,NO,,
1,Aggregates,9,Introduction of Contaminating compounds,6,Shallow sediment,NO,,
1,Aggregates,9,Introduction of Contaminating compounds,7,Shelf rock & reef,NO,,
1,Aggregates,9,Introduction of Contaminating compounds,8,Shelf sediment,NO,,
1,Aggregates,9,Introduction of Contaminating compounds,9,Slope rock & reef,NO,,
1,Aggregates,9,Introduction of Contaminating compounds,10,Slope sediment,NO,,
1,Aggregates,9,Introduction of Contaminating compounds,11,Deep Sea rock & reef,NO,,
1,Aggregates,9,Introduction of Contaminating compounds,12,Deep Sea Sediment,NO,,
1,Aggregates,9,Introduction of Contaminating compounds,13,Coastal Pelagic,NO,,
1,Aggregates,9,Introduction of Contaminating compounds,14,Shelf Pelagic,NO,,
1,Aggregates,9,Introduction of Contaminating compounds,15,Oceanic Pelagic,NO,,
1,Aggregates,9,Introduction of Contaminating compounds,16,Marine Mammals,NO,,
1,Aggregates,9,Introduction of Contaminating compounds,17,Pelagic Fish,NO,,
1,Aggregates,9,Introduction of Contaminating compounds,18,Demersal Fish,NO,,
1,Aggregates,9,Introduction of Contaminating compounds,19,Deep-sea Fish,NO,,
1,Aggregates,9,Introduction of Contaminating compounds,20,Deep-sea Elasmobranchs,NO,,
1,Aggregates,9,Introduction of Contaminating compounds,21,Pelagic Elasmobranchs,NO,,
1,Aggregates,9,Introduction of Contaminating compounds,22,Demersal Elasmobranchs,NO,,
1,Aggregates,9,Introduction of Contaminating compounds,23,Reptiles,NO,,
1,Aggregates,9,Introduction of Contaminating compounds,24,Marine birds,NO,,
1,Aggregates,9,Introduction of Contaminating compounds,25,Cephalopods,NO,,
1,Aggregates,10,Input of Organic Matter (including N&P),1,Littoral rock & reef,NO,,
1,Aggregates,10,Input of Organic Matter (including N&P),2,Littoral sediment,NO,,
1,Aggregates,10,Input of Organic Matter (including N&P),3,Mangroves,NO,,
1,Aggregates,10,Input of Organic Matter (including N&P),4,Saltmarshes,NO,,
1,Aggregates,10,Input of Organic Matter (including N&P),5,Shallow rock & reef,NO,,
1,Aggregates,10,Input of Organic Matter (including N&P),6,Shallow sediment,NO,,
1,Aggregates,10,Input of Organic Matter (including N&P),7,Shelf rock & reef,NO,,
1,Aggregates,10,Input of Organic Matter (including N&P),8,Shelf sediment,NO,,
1,Aggregates,10,Input of Organic Matter (including N&P),9,Slope rock & reef,NO,,
1,Aggregates,10,Input of Organic Matter (including N&P),10,Slope sediment,NO,,
1,Aggregates,10,Input of Organic Matter (including N&P),11,Deep Sea rock & reef,NO,,
1,Aggregates,10,Input of Organic Matter (including N&P),12,Deep Sea Sediment,NO,,
1,Aggregates,10,Input of Organic Matter (including N&P),13,Coastal Pelagic,NO,,
1,Aggregates,10,Input of Organic Matter (including N&P),14,Shelf Pelagic,NO,,
1,Aggregates,10,Input of Organic Matter (including N&P),15,Oceanic Pelagic,NO,,
1,Aggregates,10,Input of Organic Matter (including N&P),16,Marine Mammals,NO,,
1,Aggregates,10,Input of Organic Matter (including N&P),17,Pelagic Fish,NO,,
1,Aggregates,10,Input of Organic Matter (including N&P),18,Demersal Fish,NO,,
1,Aggregates,10,Input of Organic Matter (including N&P),19,Deep-sea Fish,NO,,
1,Aggregates,10,Input of Organic Matter (including N&P),20,Deep-sea Elasmobranchs,NO,,
1,Aggregates,10,Input of Organic Matter (including N&P),21,Pelagic Elasmobranchs,NO,,
1,Aggregates,10,Input of Organic Matter (including N&P),22,Demersal Elasmobranchs,NO,,
1,Aggregates,10,Input of Organic Matter (including N&P),23,Reptiles,NO,,
1,Aggregates,10,Input of Organic Matter (including N&P),24,Marine birds,NO,,
1,Aggregates,10,Input of Organic Matter (including N&P),25,Cephalopods,NO,,
1,Aggregates,11,Invasive species,1,Littoral rock & reef,NO,,
1,Aggregates,11,Invasive species,2,Littoral sediment,NO,,
1,Aggregates,11,Invasive species,3,Mangroves,NO,,
1,Aggregates,11,Invasive species,4,Saltmarshes,NO,,
1,Aggregates,11,Invasive species,5,Shallow rock & reef,NO,,
1,Aggregates,11,Invasive species,6,Shallow sediment,NO,,
1,Aggregates,11,Invasive species,7,Shelf rock & reef,NO,,
1,Aggregates,11,Invasive species,8,Shelf sediment,NO,,
1,Aggregates,11,Invasive species,9,Slope rock & reef,NO,,
1,Aggregates,11,Invasive species,10,Slope sediment,NO,,
1,Aggregates,11,Invasive species,11,Deep Sea rock & reef,NO,,
1,Aggregates,11,Invasive species,12,Deep Sea Sediment,NO,,
1,Aggregates,11,Invasive species,13,Coastal Pelagic,NO,,
1,Aggregates,11,Invasive species,14,Shelf Pelagic,NO,,
1,Aggregates,11,Invasive species,15,Oceanic Pelagic,NO,,
1,Aggregates,11,Invasive species,16,Marine Mammals,NO,,
1,Aggregates,11,Invasive species,17,Pelagic Fish,NO,,
1,Aggregates,11,Invasive species,18,Demersal Fish,NO,,
1,Aggregates,11,Invasive species,19,Deep-sea Fish,NO,,
1,Aggregates,11,Invasive species,20,Deep-sea Elasmobranchs,NO,,
1,Aggregates,11,Invasive species,21,Pelagic Elasmobranchs,NO,,
1,Aggregates,11,Invasive species,22,Demersal Elasmobranchs,NO,,
1,Aggregates,11,Invasive species,23,Reptiles,NO,,
1,Aggregates,11,Invasive species,24,Marine birds,NO,,
1,Aggregates,11,Invasive species,25,Cephalopods,NO,,
1,Aggregates,12,Species Extraction,1,Littoral rock & reef,NO,,
1,Aggregates,12,Species Extraction,2,Littoral sediment,NO,,
1,Aggregates,12,Species Extraction,3,Mangroves,NO,,
1,Aggregates,12,Species Extraction,4,Saltmarshes,NO,,
1,Aggregates,12,Species Extraction,5,Shallow rock & reef,NO,,
1,Aggregates,12,Species Extraction,6,Shallow sediment,NO,,
1,Aggregates,12,Species Extraction,7,Shelf rock & reef,NO,,
1,Aggregates,12,Species Extraction,8,Shelf sediment,NO,,
1,Aggregates,12,Species Extraction,9,Slope rock & reef,NO,,
1,Aggregates,12,Species Extraction,10,Slope sediment,NO,,
1,Aggregates,12,Species Extraction,11,Deep Sea rock & reef,NO,,
1,Aggregates,12,Species Extraction,12,Deep Sea Sediment,NO,,
1,Aggregates,12,Species Extraction,13,Coastal Pelagic,NO,,
1,Aggregates,12,Species Extraction,14,Shelf Pelagic,NO,,
1,Aggregates,12,Species Extraction,15,Oceanic Pelagic,NO,,
1,Aggregates,12,Species Extraction,16, Marine Mammals,NO,,
1,Aggregates,12,Species Extraction,17,Pelagic Fish,NO,,
1,Aggregates,12,Species Extraction,18,Demersal Fish,NO,,
1,Aggregates,12,Species Extraction,19,Deep-sea Fish,NO,,
1,Aggregates,12,Species Extraction,20,Deep-sea Elasmobranchs,NO,,
1,Aggregates,12,Species Extraction,21,Pelagic Elasmobranchs,NO,,
1,Aggregates,12,Species Extraction,22,Demersal Elasmobranchs,NO,,
1,Aggregates,12,Species Extraction,23,Reptiles,NO,,
1,Aggregates,12,Species Extraction,24,Marine birds,NO,,
1,Aggregates,12,Species Extraction,25,Cephalopods,NO,,
1,Aggregates,13,Bycatch,1,Littoral rock & reef,NO,,
1,Aggregates,13,Bycatch,2,Littoral sediment,NO,,
1,Aggregates,13,Bycatch,3,Mangroves,NO,,
1,Aggregates,13,Bycatch,4,Saltmarshes,NO,,
1,Aggregates,13,Bycatch,5,Shallow rock & reef,NO,,
1,Aggregates,13,Bycatch,6,Shallow sediment,NO,,
1,Aggregates,13,Bycatch,7,Shelf rock & reef,NO,,
1,Aggregates,13,Bycatch,8,Shelf sediment,NO,,
1,Aggregates,13,Bycatch,9,Slope rock & reef,NO,,
1,Aggregates,13,Bycatch,10,Slope sediment,NO,,
1,Aggregates,13,Bycatch,11,Deep Sea rock & reef,NO,,
1,Aggregates,13,Bycatch,12,Deep Sea Sediment,NO,,
1,Aggregates,13,Bycatch,13,Coastal Pelagic,NO,,
1,Aggregates,13,Bycatch,14,Shelf Pelagic,NO,,
1,Aggregates,13,Bycatch,15,Oceanic Pelagic,NO,,
1,Aggregates,13,Bycatch,16,Marine Mammals,NO,,
1,Aggregates,13,Bycatch,17,Pelagic Fish,NO,,
1,Aggregates,13,Bycatch,18,Demersal Fish,NO,,
1,Aggregates,13,Bycatch,19, Deep-sea Fish,NO,,
1,Aggregates,13,Bycatch,20,Deep-sea Elasmobranchs,NO,,
1,Aggregates,13,Bycatch,21,Pelagic Elasmobranchs,NO,,
1,Aggregates,13,Bycatch,22,Demersal Elasmobranchs,NO,,
1,Aggregates,13,Bycatch,23,Reptiles,NO,,
1,Aggregates,13,Bycatch,24,Marine birds,NO,,
1,Aggregates,13,Bycatch,25,Cephalopods,NO,,
1,Aggregates,14,Incidental Loss of spp.,1,Littoral rock & reef,NO,,
1,Aggregates,14,Incidental Loss of spp.,2,Littoral sediment,S,P,C
1,Aggregates,14,Incidental Loss of spp.,3,Mangroves,NO,,
1,Aggregates,14,Incidental Loss of spp.,4,Saltmarshes,NO,,
1,Aggregates,14,Incidental Loss of spp.,5,Shallow rock & reef,NO,,
1,Aggregates,14,Incidental Loss of spp.,6,Shallow sediment,S,R,C
1,Aggregates,14,Incidental Loss of spp.,7,Shelf rock & reef,NO,,
1,Aggregates,14,Incidental Loss of spp.,8,Shelf sediment,S,R,C
1,Aggregates,14,Incidental Loss of spp.,9, Slope rock & reef,NO,,
1,Aggregates,14,Incidental Loss of spp.,10, Slope sediment,NO,,
1,Aggregates,14,Incidental Loss of spp.,11,Deep Sea rock & reef,NO,,
1,Aggregates,14,Incidental Loss of spp.,12,Deep Sea Sediment,NO,,
1,Aggregates,14,Incidental Loss of spp.,13,Coastal Pelagic,NO,,
1,Aggregates,14,Incidental Loss of spp.,14,Shelf Pelagic,NO,,
1,Aggregates,14,Incidental Loss of spp.,15,Oceanic Pelagic,NO,,
1,Aggregates,14,Incidental Loss of spp.,16,Marine Mammals,NO,,
1,Aggregates,14,Incidental Loss of spp.,17,Pelagic Fish,NO,,
1,Aggregates,14,Incidental Loss of spp.,18,Demersal Fish,S,P,C
1,Aggregates,14,Incidental Loss of spp.,19,Deep-sea Fish,NO,,
1,Aggregates,14,Incidental Loss of spp.,20,Deep-sea Elasmobranchs,NO,,
1,Aggregates,14,Incidental Loss of spp.,21,Pelagic Elasmobranchs,S,P,C
1,Aggregates,14,Incidental Loss of spp.,22,Demersal Elasmobranchs,S,P,C
1,Aggregates,14,Incidental Loss of spp.,23,Reptiles,NO,,
1,Aggregates,14,Incidental Loss of spp.,24,Marine birds,NO,,
1,Aggregates,14,Incidental Loss of spp.,25,Cephalopods,NO,,
1,Aggregates,15,Barriers,1,Littoral rock & reef,NO,,
1,Aggregates,15,Barriers,2,Littoral sediment,S,R,C
1,Aggregates,15,Barriers,3,Mangroves,NO,,
1,Aggregates,15,Barriers,4,Saltmarshes,NO,,
1,Aggregates,15,Barriers,5,Shallow rock & reef,NO,,
1,Aggregates,15,Barriers,6,Shallow sediment,S,P,C
1,Aggregates,15,Barriers,7,Shelf rock & reef,NO,,
1,Aggregates,15,Barriers,8,Shelf sediment,S,P,C
1,Aggregates,15,Barriers,9,Slope rock & reef,NO,,
1,Aggregates,15,Barriers,10,Slope sediment,NO,,
1,Aggregates,15,Barriers,11,Deep Sea rock & reef,NO,,
1,Aggregates,15,Barriers,12,Deep Sea Sediment,NO,,
1,Aggregates,15,Barriers,13,Coastal Pelagic,S,P,C
1,Aggregates,15,Barriers,14,Shelf Pelagic,S,P,C
1,Aggregates,15,Barriers,15,Oceanic Pelagic,NO,,
1,Aggregates,15,Barriers,16,Marine Mammals,S,P,C
1,Aggregates,15,Barriers,17,Pelagic Fish,S,P,C
1,Aggregates,15,Barriers,18,Demersal Fish,S,P,C
1,Aggregates,15,Barriers,19,Deep-sea Fish,NO,,
1,Aggregates,15,Barriers,20, Deep-sea Elasmobranchs,NO,,
1,Aggregates,15,Barriers,21,Pelagic Elasmobranchs,S,P,C
1,Aggregates,15,Barriers,22,Demersal Elasmobranchs,S,P,C
1,Aggregates,15,Barriers,23,Reptiles,S,P,C
1,Aggregates,15,Barriers,24,Marine birds,NO,,
1,Aggregates,15,Barriers,25,Cephalopods,NO,,
1,Aggregates,16,Change in wave exposure,1,Littoral rock & reef,NO,,
1,Aggregates,16,Change in wave exposure,2,Littoral sediment,NO,,
1,Aggregates,16,Change in wave exposure,3,Mangroves,NO,,
1,Aggregates,16,Change in wave exposure,4,Saltmarshes,NO,,
1,Aggregates,16,Change in wave exposure,5,Shallow rock & reef,NO,,
1,Aggregates,16,Change in wave exposure,6,Shallow sediment,NO,,
1,Aggregates,16,Change in wave exposure,7,Shelf rock & reef,NO,,
1,Aggregates,16,Change in wave exposure,8,Shelf sediment,NO,,
1,Aggregates,16,Change in wave exposure,9,Slope rock & reef,NO,,
1,Aggregates,16,Change in wave exposure,10,Slope sediment,NO,,
1,Aggregates,16,Change in wave exposure,11,Deep Sea rock & reef,NO,,
1,Aggregates,16,Change in wave exposure,12,Deep Sea Sediment,NO,,
1,Aggregates,16,Change in wave exposure,13,Coastal Pelagic,NO,,
1,Aggregates,16,Change in wave exposure,14,Shelf Pelagic,NO,,
1,Aggregates,16,Change in wave exposure,15,Oceanic Pelagic,NO,,
1,Aggregates,16,Change in wave exposure,16,Marine Mammals,NO,,
1,Aggregates,16,Change in wave exposure,17,Pelagic Fish,NO,,
1,Aggregates,16,Change in wave exposure,18,Demersal Fish,NO,,
1,Aggregates,16,Change in wave exposure,19,Deep-sea Fish,NO,,
1,Aggregates,16,Change in wave exposure,20,Deep-sea Elasmobranchs,NO,,
1,Aggregates,16,Change in wave exposure,21,Pelagic Elasmobranchs,NO,,
1,Aggregates,16,Change in wave exposure,22,Demersal Elasmobranchs,NO,,
1,Aggregates,16,Change in wave exposure,23,Reptiles,NO,,
1,Aggregates,16,Change in wave exposure,24,Marine birds,NO,,
1,Aggregates,16,Change in wave exposure,25,Cephalopods,NO,,
